Cat Island (South), Cat Island, Bahamas:21.988779602668703
AUGO Fort Vermillion, AB, Canada:20.05128012544244
Alberta Star Party, AB, Canada:21.523492936841386
Athabasca, AB, Canada:19.8043162558547
Barrhead, AB, Canada:20.12631175947246
Berry Creek, AB, Canada:21.741413599701815
Big Sky Observatory Site, AB, Canada:21.61885873584529
Bon Accord Observatory, AB, Canada:20.93623856604902
Bragg Creek, AB, Canada:20.74851863834456
Brooks, AB, Canada:20.711390803325756
Carmangay Village, AB, Canada:21.504194777429355
Carvel Observatory, AB, Canada:20.93623856604902
Chestermere, AB, Canada:18.698469076785436
Claresholm, AB, Canada:20.43045075540566
Cochrane, ON, Canada:19.369143445061912
Cypress Hills Dark-Sky Preserve - CHICO, AB, Canada:18.88262736509155
Dinosaur Provincial Park, AB, Canada:21.74909004723536
Drayton Valley, AB, Canada:19.06120193327841
Drumheller, AB, Canada:19.612148188903028
Elbow Valley, AB, Canada:20.93623856604902
Fifth Meridian Observatory, AB, Canada:17.758501854380114
Fort Chipewyan, AB, Canada:20.33806022004785
Fort MacKay/Firebag Aerodrome, AB, Canada:19.32625562860003
Fort McMurray, AB, Canada:18.365727903054843
Glennifer Lake, AB, Canada:20.93623856604902
Grande Prairie, AB, Canada:17.917994248236827
Hinton, AB, Canada:21.281324299175235
Hythe Observatory, AB, Canada:20.93623856604902
Innisfail, AB, Canada:19.557833079948843
Jasper Athabasca Glacier, AB, Canada:21.994982136651682
Jasper House Viewpoint, AB, Canada:21.948440848042424
Jasper Maligne Lake, AB, Canada:20.93623856604902
Jasper Marmot Meadows, AB, Canada:20.680188283255706
Keivers Lake, AB, Canada:20.93623856604902
Kitscoty, AB, Canada:20.69420010966094
Lac la Biche, AB, Canada:19.50063704876119
Lakeland Provincial Park, AB, Canada:21.865113191035903
Little Bow Reservoir, AB, Canada:20.93623856604902
Lloydminster, AB, Canada:18.493653617005858
Medicine Hat, AB, Canada:21.600210681627335
Medicine Lake Viewpoint, AB, Canada:20.93623856604902
Miquelon Lake Provincial Park, AB, Canada:20.82780295262901
Newbrook Observatory, AB, Canada:20.93623856604902
Northdog Observatory, AB, Canada:20.93623856604902
Okotoks, AB, Canada:19.216244293952414
Peyto Lake, AB, Canada:20.93623856604902
Pincher Creek, AB, Canada:20.53371419770569
Pisony Ranch, AB, Canada:17.75318807851714
Red Deer, AB, Canada:18.024122685403924
Ridge Park Campground, AB, Canada:20.93623856604902
Rocky Mountain House, AB, Canada:20.93623856604902
Rothney Astrophysical Observatory, AB, Canada:20.085739212504258
